user_id,movie_id,rating
1,678,4
1,1649,5
1,1085,4
1,94,5
1,1500,5
1,431,4
1,843,5
1,56,5
1,354,4
1,1560,5
1,51,4
1,1818,5
1,188,5
1,1801,5
1,274,5
1,1204,5
1,334,5
1,1927,5
1,1451,5
1,1434,5
1,1237,4
1,437,5
1,136,4
1,1754,5
1,148,4
1,615,1
1,808,1
1,782,1
1,1096,1
1,1271,1
1,1734,1
1,229,1
1,1977,1
1,32,1
1,416,1
1,332,1
1,488,1
1,700,1
1,899,1
1,1802,1
1,1287,1
1,291,1
1,10,2
1,1701,1
1,1973,1
1,1836,2
1,969,2
1,872,1
1,113,1
1,306,1
2,1949,5
2,160,4
2,590,5
2,30,4
2,1859,5
2,1287,4
2,1689,5
2,562,5
2,200,5
2,1836,5
2,17,5
2,1973,4
2,10,5
2,1701,5
2,872,4
2,1967,5
2,1276,4
2,1149,5
2,1992,5
2,1779,5
2,360,4
2,1327,5
2,113,5
2,392,5
2,1568,4
2,229,1
2,102,2
2,1434,1
2,912,2
2,1096,1
2,1045,1
2,424,1
2,1602,1
2,1977,1
2,700,1
2,1649,1
2,982,2
2,274,1
2,843,1
2,1188,1
2,1026,1
2,1754,1
2,148,1
2,136,1
2,880,1
3,351,5
3,327,5
3,1836,5
3,1967,5
3,1490,4
3,872,4
3,1973,5
3,1779,5
3,1378,5
3,227,5
3,1689,5
3,10,4
3,1276,4
3,360,4
3,590,5
3,1859,5
3,17,5
3,1701,5
3,291,5
3,200,4
3,306,5
3,1149,5
3,1992,5
3,30,5
3,392,5
3,1271,1
3,1888,1
3,728,1
3,1265,1
3,702,1
3,1096,1
3,912,1
3,368,1
3,1539,1
3,1977,1
3,35,1
3,563,1
3,880,1
3,148,1
3,431,2
3,1500,1
3,1026,1
3,334,1
3,1818,1
3,982,1
4,35,5
4,1560,5
4,1867,5
4,1927,5
4,880,5
4,437,5
4,843,5
4,1026,4
4,148,5
4,1434,5
4,56,5
4,1500,5
4,1237,5
4,1085,5
4,58,5
4,1451,5
4,274,5
4,51,5
4,431,4
4,94,5
4,136,5
4,1818,5
4,1649,5
4,1204,4
4,678,5
4,1045,1
4,416,1
4,912,1
4,728,1
4,488,1
4,899,1
4,1977,1
4,297,1
4,1734,2
4,651,1
4,782,1
4,1271,1
4,702,1
4,1802,1
4,54,1
4,1973,1
4,327,1
4,1689,1
4,969,2
4,10,1
4,17,1
4,1949,1
4,113,1
4,1149,1
4,1992,1
5,1247,5
5,482,5
5,200,5
5,590,5
5,1276,5
5,30,4
5,1973,5
5,807,5
5,1779,5
5,113,4
5,227,5
5,306,5
5,17,5
5,1378,4
5,1850,4
5,10,5
5,1149,5
5,969,5
5,1689,5
5,291,4
5,1885,4
5,351,5
5,1668,5
5,1327,4
5,1568,5
5,651,1
5,332,1
5,983,1
5,615,1
5,102,1
5,368,1
5,297,1
5,700,1
5,1602,1
5,54,1
5,35,2
5,843,1
5,94,1
5,148,1
5,1434,2
5,1938,1
5,69,1
5,1204,2
5,982,1
5,1188,1
6,983,4
6,615,5
6,1977,5
6,368,5
6,651,5
6,1734,5
6,1595,4
6,912,4
6,1692,4
6,124,5
6,1539,5
6,488,5
6,702,5
6,1045,5
6,782,5
6,297,4
6,32,5
6,1061,5
6,1602,5
6,1265,5
6,102,4
6,808,4
6,1802,5
6,1096,5
6,424,5
6,1754,2
6,1818,2
6,1867,1
6,1927,1
6,1451,1
6,678,2
6,188,1
6,334,1
6,880,1
6,1938,1
6,136,2
6,1560,2
6,274,1
6,148,1
6,51,1
6,1992,2
6,1885,1
6,10,1
6,590,1
6,1568,1
6,1490,1
6,1859,1
6,1327,1
6,872,2
6,1287,1
7,1096,5
7,124,5
7,1045,4
7,651,5
7,297,5
7,728,5
7,229,5
7,1539,4
7,332,5
7,102,5
7,416,5
7,488,4
7,1434,5
7,782,5
7,1602,4
7,1734,5
7,1595,4
7,912,5
7,615,5
7,700,4
7,1888,5
7,54,4
7,983,4
7,702,5
7,1271,5
7,431,1
7,1085,1
7,1204,1
7,1560,1
7,274,1
7,354,2
7,1801,2
7,1649,1
7,1818,1
7,94,1
7,1867,1
7,334,1
7,1938,1
7,1754,1
7,1859,1
7,1668,2
7,1276,2
7,872,1
7,1568,1
7,1992,1
7,113,2
7,482,1
7,17,2
7,1701,1
8,1779,5
8,1836,5
8,1668,5
8,872,5
8,1973,5
8,969,5
8,1490,5
8,360,5
8,807,5
8,1949,5
8,1850,5
8,1967,5
8,562,4
8,1276,5
8,590,5
8,392,5
8,1859,4
8,1327,5
8,227,5
8,482,5
8,1287,4
8,1689,5
8,1992,5
8,10,5
8,291,5
8,32,2
8,54,1
8,615,2
8,1061,1
8,1434,1
8,1096,1
8,899,1
8,1539,1
8,1045,1
8,912,1
8,5,1
8,1237,1
8,1500,1
8,678,1
8,1801,1
8,188,1
8,56,1
8,1649,1
8,1026,1
8,1188,1
9,488,4
9,1802,5
9,899,5
9,1096,4
9,1977,5
